Period,Cumulative total Confirmed cases,Cumulative total Released from quaranine
2020. 04. 01,9887,5567
2020. 04. 02,9976,5828
2020. 04. 03,10062,6021
2020. 04. 04,10156,6325
2020. 04. 05,10237,6463
2020. 04. 06,10284,6598
2020. 04. 07,10331,6694
2020. 04. 08,10384,6776
2020. 04. 09,10423,6973
2020. 04. 10,10450,7117
2020. 04. 11,10480,7243
2020. 04. 12,10512,7368
2020. 04. 13,10537,7447
2020. 04. 14,10564,7534
2020. 04. 15,10591,7616
2020. 04. 16,10613,7757
2020. 04. 17,10635,7829
2020. 04. 18,10653,7937
2020. 04. 19,10661,8042
2020. 04. 20,10674,8114
2020. 04. 21,10683,8213
2020. 04. 22,10694,8277
2020. 04. 23,10702,8411
2020. 04. 24,10708,8501
2020. 04. 25,10718,8635
2020. 04. 26,10728,8717
2020. 04. 27,10738,8764
2020. 04. 28,10752,8854
2020. 04. 29,10761,8922
2020. 04. 30,10765,9059
2020. 05. 01,10774,9072
2020. 05. 02,10780,9123
2020. 05. 03,10793,9183
2020. 05. 04,10801,9217
2020. 05. 05,10804,9283
2020. 05. 06,10806,9333
2020. 05. 07,10810,9419
2020. 05. 08,10822,9484
2020. 05. 09,10840,9568
2020. 05. 10,10874,9610
2020. 05. 11,10909,9632
2020. 05. 12,10936,9670
2020. 05. 13,10962,9695
2020. 05. 14,10991,9762
2020. 05. 15,11018,9821
2020. 05. 16,11037,9851
2020. 05. 17,11050,9888
2020. 05. 18,11065,9904
2020. 05. 19,11078,9938
2020. 05. 20,11110,10066
2020. 05. 21,11122,10135
2020. 05. 22,11142,10162
2020. 05. 23,11165,10194
2020. 05. 24,11190,10213
2020. 05. 25,11206,10226
2020. 05. 26,11225,10275
2020. 05. 27,11265,10295
2020. 05. 28,11344,10340
2020. 05. 29,11402,10363
2020. 05. 30,11441,10398
2020. 05. 31,11468,10405
2020. 06. 01,11503,10422
2020. 06. 02,11541,10446
2020. 06. 03,11590,10467
2020. 06. 04,11629,10499
2020. 06. 05,11668,10506
2020. 06. 06,11719,10531
