Period,Imported cases,Local outbreak
2020. 04. 09,23,16
2020. 04. 10,5,22
2020. 04. 11,12,18
2020. 04. 12,24,8
2020. 04. 13,16,9
2020. 04. 14,12,15
2020. 04. 15,11,16
2020. 04. 16,11,11
2020. 04. 17,14,8
2020. 04. 18,9,9
2020. 04. 19,5,3
2020. 04. 20,7,6
2020. 04. 21,5,4
2020. 04. 22,6,5
2020. 04. 23,4,4
2020. 04. 24,2,4
2020. 04. 25,4,6
2020. 04. 26,9,1
2020. 04. 27,7,3
2020. 04. 28,12,2
2020. 04. 29,5,4
2020. 04. 30,4,0
2020. 05. 01,8,1
2020. 05. 02,6,0
2020. 05. 03,10,3
2020. 05. 04,8,0
2020. 05. 05,3,0
2020. 05. 06,2,0
2020. 05. 07,3,1
2020. 05. 08,11,1
2020. 05. 09,1,17
2020. 05. 10,8,26
2020. 05. 11,6,29
2020. 05. 12,5,22
2020. 05. 13,4,22
2020. 05. 14,3,26
2020. 05. 15,5,22
2020. 05. 16,10,9
2020. 05. 17,7,6
2020. 05. 18,10,5
2020. 05. 19,4,9
2020. 05. 20,8,24
2020. 05. 21,2,10
2020. 05. 22,9,11
2020. 05. 23,4,19
2020. 05. 24,8,17
2020. 05. 25,3,13
2020. 05. 26,3,16
2020. 05. 27,3,37
2020. 05. 28,11,68
2020. 05. 29,3,55
2020. 05. 30,12,27
2020. 05. 31,12,15
2020. 06. 01,5,30
2020. 06. 02,2,36
2020. 06. 03,3,46
2020. 06. 04,6,33
2020. 06. 05,5,34
2020. 06. 06,8,43
2020. 06. 07,4,53
2020. 06. 08,5,33
2020. 06. 09,3,35
2020. 06. 10,7,43
2020. 06. 11,5,40
2020. 06. 12,13,43
2020. 06. 13,5,44
2020. 06. 14,3,31
2020. 06. 15,13,24
2020. 06. 16,13,21
2020. 06. 17,12,31
2020. 06. 18,8,51
2020. 06. 19,17,32
2020. 06. 20,31,36
2020. 06. 21,8,40
2020. 06. 22,6,11
2020. 06. 23,30,16
2020. 06. 24,20,31
2020. 06. 25,5,23
2020. 06. 26,12,27
2020. 06. 27,20,31
2020. 06. 28,22,40
2020. 06. 29,12,30
2020. 06. 30,20,23
2020. 07. 01,15,36
2020. 07. 02,10,44
2020. 07. 03,11,52
2020. 07. 04,27,36
2020. 07. 05,18,43
2020. 07. 06,24,24
2020. 07. 07,24,20
2020. 07. 08,33,30
2020. 07. 09,22,28
2020. 07. 10,23,22
2020. 07. 11,15,20
2020. 07. 12,23,21
2020. 07. 13,43,19
2020. 07. 14,19,14
2020. 07. 15,28,11
2020. 07. 16,47,14
2020. 07. 17,39,21
2020. 07. 18,28,11
2020. 07. 19,13,21
2020. 07. 20,22,4
2020. 07. 21,25,20
2020. 07. 22,34,29
2020. 07. 23,20,39
2020. 07. 24,13,28
2020. 07. 25,86,27
2020. 07. 26,46,12
2020. 07. 27,16,9
2020. 07. 28,23,5
2020. 07. 29,34,14
2020. 07. 30,11,7
2020. 07. 31,22,14
2020. 08. 01,23,8
2020. 08. 02,22,8
2020. 08. 03,20,3
2020. 08. 04,21,13
2020. 08. 05,18,15
2020. 08. 06,23,20
2020. 08. 07,11,9
2020. 08. 08,13,30
2020. 08. 09,6,30
2020. 08. 10,11,17
2020. 08. 11,11,23
2020. 08. 12,19,35
2020. 08. 13,9,47
2020. 08. 14,18,85
2020. 08. 15,11,155
2020. 08. 16,12,267
2020. 08. 17,9,188
2020. 08. 18,11,235
2020. 08. 19,14,283
2020. 08. 20,12,276
2020. 08. 21,9,315
2020. 08. 22,17,315
2020. 08. 23,10,387
2020. 08. 24,8,258
2020. 08. 25,16,264
2020. 08. 26,13,307
2020. 08. 27,7,434
2020. 08. 28,12,359
2020. 08. 29,15,308
2020. 08. 30,16,283
2020. 08. 31,10,238
2020. 09. 01,13,222
2020. 09. 02,14,253
2020. 09. 03,7,188
2020. 09. 04,9,189
2020. 09. 05,10,158
2020. 09. 06,15,152
2020. 09. 07,11,108
2020. 09. 08,16,120
2020. 09. 09,12,144
2020. 09. 10,14,141
2020. 09. 11,15,161
2020. 09. 12,18,118
2020. 09. 13,22,99
2020. 09. 14,11,98
2020. 09. 15,15,91
2020. 09. 16,8,105
2020. 09. 17,8,145
2020. 09. 18,17,109
2020. 09. 19,4,106
2020. 09. 20,10,72
2020. 09. 21,15,55
2020. 09. 22,10,51
2020. 09. 23,11,99
2020. 09. 24,15,110
2020. 09. 25,19,95
2020. 09. 26,49,12
2020. 09. 27,22,73
2020. 09. 28,10,40
2020. 09. 29,15,23
2020. 09. 30,20,93
2020. 10. 01,10,67
2020. 10. 02,10,53
2020. 10. 03,52,23
2020. 10. 04,17,47
2020. 10. 05,9,64
2020. 10. 06,9,66
2020. 10. 07,20,94
2020. 10. 08,9,60
2020. 10. 09,16,38
2020. 10. 10,11,61
2020. 10. 11,12,46
2020. 10. 12,29,68
2020. 10. 13,33,69
2020. 10. 14,31,53
2020. 10. 15,15,95
2020. 10. 16,6,41
2020. 10. 17,11,62
2020. 10. 18,20,71
2020. 10. 19,23,16
2020. 10. 20,17,41
2020. 10. 21,34,57
2020. 10. 22,17,104
2020. 10. 23,17,138
2020. 10. 24,11,66
2020. 10. 25,11,50
2020. 10. 26,25,94
2020. 10. 27,16,72
2020. 10. 28,7,96
2020. 10. 29,19,106
2020. 10. 30,21,93
2020. 10. 31,31,96
2020. 11. 01,23,101
2020. 11. 02,18,79
2020. 11. 03,29,46
2020. 11. 04,20,98
2020. 11. 05,17,108
2020. 11. 06,28,117
2020. 11. 07,17,72
2020. 11. 08,25,118
2020. 11. 09,27,99
2020. 11. 10,29,71
2020. 11. 11,33,113
2020. 11. 12,15,128
2020. 11. 13,29,162
2020. 11. 14,39,166
2020. 11. 15,32,176
2020. 11. 16,30,193
2020. 11. 17,28,202
2020. 11. 18,68,245
2020. 11. 19,50,293
2020. 11. 20,43,320
2020. 11. 21,25,361
2020. 11. 22,28,302
2020. 11. 23,16,255
2020. 11. 24,29,320
2020. 11. 25,19,363
2020. 11. 26,30,553
2020. 11. 27,44,525
2020. 11. 28,18,486
2020. 11. 29,37,413
2020. 11. 30,24,414
2020. 12. 01,31,420
2020. 12. 02,18,493
2020. 12. 03,24,516
2020. 12. 04,29,600
2020. 12. 05,24,559
2020. 12. 06,32,599
2020. 12. 07,35,580
2020. 12. 08,28,566
2020. 12. 09,24,662
2020. 12. 10,36,646
2020. 12. 11,16,673
2020. 12. 12,22,928
